Model,Max Model Len,Quantization,Precision,Dtype,Size,Prefix Caching,Env,VLLM Version,Status,Datetime,1k Tok Avg Time,2k Tok Avg Time,4k Tok Avg Time,Error,8k Tok Avg Time,12k Tok Avg Time,7k Tok Avg Time
Llama3.1,,,,,,False,QA,0.9.2,success,2025-09-09 09:22:32,"{'Avg_Exec_Time': 17, 'Avg_prompt_tokens': 1196, 'Avg_completion_tokens': 358}","{'Avg_Exec_Time': 19, 'Avg_prompt_tokens': 2084, 'Avg_completion_tokens': 369}","{'Avg_Exec_Time': 18, 'Avg_prompt_tokens': 4045, 'Avg_completion_tokens': 382}",,,,
Llama3,,,,,,False,QA,0.9.2,success,2025-09-09 09:23:38,"{'Avg_Exec_Time': 13, 'Avg_prompt_tokens': 1196, 'Avg_completion_tokens': 373}","{'Avg_Exec_Time': 13, 'Avg_prompt_tokens': 2084, 'Avg_completion_tokens': 331}","{'Avg_Exec_Time': 19, 'Avg_prompt_tokens': 4045, 'Avg_completion_tokens': 384}",,,,
Llama3,,,,,,False,QA,0.9.2,success,2025-09-09 09:23:57,"{'Avg_Exec_Time': 19, 'Avg_prompt_tokens': 1196, 'Avg_completion_tokens': 373}","{'Avg_Exec_Time': 17, 'Avg_prompt_tokens': 2084, 'Avg_completion_tokens': 331}",,,,,
Model,Max Model Len,Quantization,Precision,Dtype,Size,Prefix Caching,Env,VLLM Version,Status,Datetime,1k Tok Avg Time,2k Tok Avg Time,4k Tok Avg Time,Error,8k Tok Avg Time,12k Tok Avg Time,7k Tok Avg Time
Qwen 2,,,,,,False,QA,0.9.2,success,2025-09-09 09:26:06,"{'Avg_Exec_Time': 11, 'Avg_prompt_tokens': 1227, 'Avg_completion_tokens': 338}","{'Avg_Exec_Time': 10, 'Avg_prompt_tokens': 2131, 'Avg_completion_tokens': 274}","{'Avg_Exec_Time': 13, 'Avg_prompt_tokens': 4125, 'Avg_completion_tokens': 298}",,,"{'Avg_Exec_Time': 30, 'Avg_prompt_tokens': 12165, 'Avg_completion_tokens': 256}","{'Avg_Exec_Time': 20, 'Avg_prompt_tokens': 7503, 'Avg_completion_tokens': 265}"
Qwen 2.5 VL,,,,,,False,QA,0.9.2,timeout,2025-09-09 09:28:17,,,,,,,
Qwen 2,,,,,,False,QA,0.9.2,success,2025-09-09 09:29:18,"{'Avg_Exec_Time': 18, 'Avg_prompt_tokens': 1227, 'Avg_completion_tokens': 338}","{'Avg_Exec_Time': 17, 'Avg_prompt_tokens': 2131, 'Avg_completion_tokens': 274}","{'Avg_Exec_Time': 22, 'Avg_prompt_tokens': 4125, 'Avg_completion_tokens': 298}",,,"{'Avg_Exec_Time': 22, 'Avg_prompt_tokens': 12165, 'Avg_completion_tokens': 256}","{'Avg_Exec_Time': 30, 'Avg_prompt_tokens': 7503, 'Avg_completion_tokens': 265}"
Qwen 2.5,,,,,,False,QA,0.9.2,success,2025-09-09 09:31:53,"{'Avg_Exec_Time': 17, 'Avg_prompt_tokens': 1227, 'Avg_completion_tokens': 536}","{'Avg_Exec_Time': 20, 'Avg_prompt_tokens': 2131, 'Avg_completion_tokens': 612}","{'Avg_Exec_Time': 23, 'Avg_prompt_tokens': 4125, 'Avg_completion_tokens': 552}",,,"{'Avg_Exec_Time': 47, 'Avg_prompt_tokens': 12165, 'Avg_completion_tokens': 634}","{'Avg_Exec_Time': 29, 'Avg_prompt_tokens': 7503, 'Avg_completion_tokens': 512}"
Qwen 2.5,,,,,,False,QA,0.9.2,success,2025-09-09 09:34:20,"{'Avg_Exec_Time': 20, 'Avg_prompt_tokens': 1227, 'Avg_completion_tokens': 551}","{'Avg_Exec_Time': 22, 'Avg_prompt_tokens': 2131, 'Avg_completion_tokens': 510}","{'Avg_Exec_Time': 31, 'Avg_prompt_tokens': 4125, 'Avg_completion_tokens': 636}",,,"{'Avg_Exec_Time': 34, 'Avg_prompt_tokens': 12165, 'Avg_completion_tokens': 634}","{'Avg_Exec_Time': 37, 'Avg_prompt_tokens': 7503, 'Avg_completion_tokens': 546}"
Qwen 2.5 QA,,,,,,False,QA,0.9.2,success,2025-09-09 17:44:13,"{'Avg_Exec_Time': 14, 'Avg_prompt_tokens': 1227, 'Avg_completion_tokens': 450}","{'Avg_Exec_Time': 19, 'Avg_prompt_tokens': 2131, 'Avg_completion_tokens': 580}","{'Avg_Exec_Time': 18, 'Avg_prompt_tokens': 4125, 'Avg_completion_tokens': 474}",,,"{'Avg_Exec_Time': 34, 'Avg_prompt_tokens': 12165, 'Avg_completion_tokens': 618}","{'Avg_Exec_Time': 26, 'Avg_prompt_tokens': 7503, 'Avg_completion_tokens': 582}"
Qwen 2.5 IN,,,,,,False,QA,0.9.2,success,2025-09-09 17:51:59,"{'Avg_Exec_Time': 14, 'Avg_prompt_tokens': 1227, 'Avg_completion_tokens': 452}","{'Avg_Exec_Time': 16, 'Avg_prompt_tokens': 2131, 'Avg_completion_tokens': 498}","{'Avg_Exec_Time': 18, 'Avg_prompt_tokens': 4125, 'Avg_completion_tokens': 484}",,,"{'Avg_Exec_Time': 32, 'Avg_prompt_tokens': 12165, 'Avg_completion_tokens': 602}","{'Avg_Exec_Time': 22, 'Avg_prompt_tokens': 7503, 'Avg_completion_tokens': 490}"
